what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346144335609
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346144341734
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1346144398468
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1346144403203
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1346144406312
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1346144406593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1346144408875
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1346144413234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1346144416703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1346144417656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346144436593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346144457250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346144472140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346144499234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346144499265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346144499265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346144513921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346144548921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346144553593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346144556500
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346144560218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346144595734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346144595750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346144595781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346144614843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346144626140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346144635812
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1346144636578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346144637921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1346144642703
