what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354086655437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354086655531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354086906078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354086907015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354086907031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354086907093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354086918093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354086925265
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1354086927343
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1354086927781
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1354086927921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354086928687
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1354086928750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354086936640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354086938734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354086940140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087227125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087228390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087228406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087228421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087265812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087269062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087412750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087572406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087821234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087822625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087892796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087894687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087895812
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354087895937
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1354087906265
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1354087906281
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1354087906281
